experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
01_eve_sweep,0,191599198387802838677603364794177556170,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2510,502,2008,0,0,0.0,0.0,0.0,0.007594195283340362,0.007594195283340362,1.0,0.502,0.4016,0,1,0.0
01_eve_sweep,1,334801034744100240069614875262985158085,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2531,506,2025,0,0,0.0,0.0,0.0,0.0075346144457921075,0.0075346144457921075,1.0,0.5062,0.405,0,1,0.0
01_eve_sweep,2,138236263268105285905035897063081419186,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2469,493,1976,0,0,0.0,0.0,4.336808689942018e-19,0.007731759804852504,0.007731759804852504,1.0,0.4938,0.3952,0,1,0.0
01_eve_sweep,3,303054495178818630174038565883796743006,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2542,508,2034,0,0,0.0,0.0,0.0,0.007505173241622549,0.007505173241622549,1.0,0.5084,0.4068,0,1,0.0
01_eve_sweep,4,183379905485792164511378503132867940039,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2536,507,2029,0,0,0.0,0.0,0.0,0.0075198650273263735,0.0075198650273263735,1.0,0.5072,0.4058,0,1,0.0
01_eve_sweep,5,320165348029565807357829869161365804518,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2501,500,2001,0,0,0.0,0.0,4.336808689942018e-19,0.007624340461552238,0.007624340461552238,1.0,0.5002,0.4002,0,1,0.0
01_eve_sweep,6,265971272135510267022377472365160577687,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2473,494,1979,0,0,0.0,0.0,0.0,0.007716229238508818,0.007716229238508818,1.0,0.4946,0.3958,0,1,0.0
01_eve_sweep,7,128686367065241296825774544046611431719,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2587,517,2070,0,0,0.0,0.0,4.336808689942018e-19,0.007375485871251643,0.007375485871251643,1.0,0.5174,0.414,0,1,0.0
01_eve_sweep,8,153552867948294138323573141281683483977,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2471,494,1977,0,0,0.0,0.0,0.0,0.007716229238508818,0.007716229238508818,1.0,0.4942,0.3954,0,1,0.0
01_eve_sweep,9,51202948034206675554363188817569544833,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2449,489,1960,0,0,0.0,0.0,0.0,0.007794512316163981,0.007794512316163981,1.0,0.4898,0.392,0,1,0.0
01_eve_sweep,10,161034552827270647904717830493349869982,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2494,498,1996,0,0,0.0,0.0,4.336808689942018e-19,0.00765472591627122,0.00765472591627122,1.0,0.4988,0.3992,0,1,0.0
01_eve_sweep,11,298403332119155972270524237589157527334,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2541,508,2033,0,0,0.0,0.0,0.0,0.007505173241622549,0.007505173241622549,1.0,0.5082,0.4066,0,1,0.0
01_eve_sweep,12,239989666069659887115077995964531961093,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2508,501,2007,0,0,0.0,0.0,4.336808689942018e-19,0.007609238016362091,0.007609238016362091,1.0,0.5016,0.4014,0,1,0.0
01_eve_sweep,13,101453423443534264365500243108503671716,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2526,505,2021,0,0,0.0,0.0,0.0,0.007549421836807875,0.007549421836807875,1.0,0.5052,0.4042,0,1,0.0
01_eve_sweep,14,54365376715234317638543448493178445612,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2512,502,2010,0,0,0.0,0.0,0.0,0.007594195283340362,0.007594195283340362,1.0,0.5024,0.402,0,1,0.0
01_eve_sweep,15,238205449559723983230643110692696706262,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2512,502,2010,0,0,0.0,0.0,0.0,0.007594195283340362,0.007594195283340362,1.0,0.5024,0.402,0,1,0.0
01_eve_sweep,16,167495251332603131861662387167034896823,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2524,504,2020,0,0,0.0,0.0,4.336808689942018e-19,0.007564287542838138,0.007564287542838138,1.0,0.5048,0.404,0,1,0.0
