noise_probability,eve_fraction,repetitions,expected_qber,qber_estimate_count,qber_estimate_mean,qber_estimate_sd,qber_estimate_sem,qber_actual_count,qber_actual_mean,qber_actual_sd,qber_actual_sem
0.0,0.0,30,0.0,30,0.0,0.0,0.0,30,0.0,0.0,0.0
0.0,0.1,30,0.025,30,0.0252114548817039,0.007508769135843283,0.0013709074115999796,30,0.02523201275693928,0.003068186056133103,0.0005601715711889707
0.0,0.2,30,0.05,30,0.050433597764502305,0.0076623957464521,0.0013989556649544835,30,0.04893702689372167,0.0046532090727302,0.0008495558579740091
0.0,0.30000000000000004,30,0.07500000000000001,30,0.07464124897576774,0.010073780246380575,0.0018392122267641968,30,0.07570544075903912,0.005142389753537695,0.0009388676224986757
0.0,0.4,30,0.1,30,0.09943013611696568,0.011796349361306193,0.0021537088804663537,30,0.09962791672277463,0.007555554162600566,0.0013794491497694618
0.0,0.5,30,0.125,30,0.12255113759991536,0.020094054021607983,0.0036686555531206975,30,0.12499017982922137,0.007591231226836139,0.0013859628607252566
0.0,0.6000000000000001,30,0.15000000000000002,30,0.14614662141437906,0.014727910472781854,0.0026889362636197322,30,0.14984044718911804,0.007181651192197387,0.0013111841193667927
0.0,0.7000000000000001,30,0.17500000000000002,30,0.17378573322550922,0.018704141707707407,0.003414893444028182,30,0.17386885643621766,0.007820509345260188,0.0014278231265263208
0.0,0.8,30,0.2,30,0.19761053484037827,0.017869373379547287,0.003262486296153458,30,0.20229983610576655,0.008024333635879958,0.001465036180439633
0.0,0.9,30,0.225,30,0.22438405571772543,0.021321524032712837,0.003892759891035113,30,0.22581352222545628,0.006184721370576699,0.0011291704688497087
0.0,1.0,30,0.25,30,0.25290661107070905,0.022457090078335528,0.004100084937276609,30,0.24889354065495833,0.00737058839281575,0.0013456791749436449
0.02,0.0,30,0.01,30,0.010428532985007611,0.003311836825572836,0.0006046559120475148,30,0.01051469023539938,0.0018579095356328504,0.00033920632082335344
0.02,0.1,30,0.0345,30,0.032747627318556724,0.009246120892630567,0.001688102994104521,30,0.034021239207912904,0.004396523332540376,0.0008026916679433835
0.02,0.2,30,0.059000000000000004,30,0.057226163374212796,0.00715860014038174,0.0013069755923489092,30,0.057945693004122306,0.0037660935414395823,0.0006875914621069921
0.02,0.30000000000000004,30,0.0835,30,0.08664370834729303,0.01005764267677135,0.001836265923131436,30,0.08390953130476783,0.0056288139584994385,0.0010276761256900302
0.02,0.4,30,0.108,30,0.11228260367797503,0.013744001579176499,0.0025092998984338646,30,0.10972031287728437,0.005812344522994003,0.0010611840690784734
0.02,0.5,30,0.1325,30,0.12716417709135888,0.01629453662932988,0.0029749617586593904,30,0.13203705484216863,0.007166074069186531,0.0013083401388154332
0.02,0.6000000000000001,30,0.15700000000000003,30,0.15663984720644356,0.01792560661811062,0.0032727530339010263,30,0.1585299769334007,0.006775259655317545,0.0012369875153906986
0.02,0.7000000000000001,30,0.18150000000000002,30,0.1825236962659283,0.017500747949622454,0.0031951848084068343,30,0.18032249878313808,0.007115028589172707,0.0012990205518613497
0.02,0.8,30,0.20600000000000002,30,0.20983643118160103,0.014526181754427308,0.002652105807106602,30,0.20668523223587773,0.007630560639459963,0.0013931433962144223
0.02,0.9,30,0.2305,30,0.23651375900006807,0.01952307981364834,0.00356441040196965,30,0.23243156128316825,0.009550297225955498,0.0017436377405116129
0.02,1.0,30,0.255,30,0.24980217421159434,0.020442835343303416,0.003732334018963716,30,0.2509131401185015,0.006041519869780064,0.001103025571431405
0.06,0.0,30,0.03,30,0.02901482231599384,0.008948623203167834,0.0016337875956630526,30,0.030848465686572138,0.0037959079466302545,0.0006930348028608356
0.06,0.1,30,0.0535,30,0.05722461607568937,0.008342504698188237,0.0015231260030968417,30,0.0533873881652448,0.003949282319107944,0.0007210370040439122
0.06,0.2,30,0.077,30,0.07821210416905866,0.012714170947278369,0.002321279409267063,30,0.07849406256941552,0.005718529893145624,0.0010440559394144886
0.06,0.30000000000000004,30,0.1005,30,0.10462981345525829,0.011419374723718003,0.002084883042928225,30,0.10018894307402748,0.005749750515442432,0.001049756019111592
0.06,0.4,30,0.124,30,0.12401995043776726,0.01501297299539142,0.002740981321597261,30,0.12335911492169092,0.006113776185388591,0.0011162177094250726
0.06,0.5,30,0.1475,30,0.1452801935984644,0.0138315263962642,0.0025252796706540137,30,0.14764654815995865,0.006544506285131594,0.0011948579067003035
0.06,0.6000000000000001,30,0.171,30,0.1682888774799791,0.017862828353890095,0.0032612913434228266,30,0.16976920251923283,0.007820116643972017,0.0014277514294083564
0.06,0.7000000000000001,30,0.1945,30,0.19940907685037426,0.019216667350159863,0.003508467395918528,30,0.19378701489607095,0.009335922260038149,0.001704498405645835
0.06,0.8,30,0.218,30,0.21798728977399368,0.016286692127399357,0.0029735295551061433,30,0.2191150701188534,0.008185478156702241,0.0014944570101305414
0.06,0.9,30,0.2415,30,0.24194673787909948,0.019998442444484964,0.003651199347271057,30,0.24107883641658887,0.010616445324047994,0.001938288861500443
0.06,1.0,30,0.265,30,0.26532138383904164,0.023723448393670736,0.004331289275674386,30,0.26471285460532973,0.008293836523812775,0.0015142404507841633
