experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
02_noise_sweep,0,224474734173372876888253288167501349002,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2528,505,2023,0,0,0.0,0.0,0.0,0.007549421836807875,0.007549421836807875,1.0,0.5056,0.4046,0,1,0.0
02_noise_sweep,1,82450602344778013677809263627533016295,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2497,499,1998,0,0,0.0,0.0,0.0,0.007639502975159277,0.007639502975159277,1.0,0.4994,0.3996,0,1,0.0
02_noise_sweep,2,2927713157459652645099481323883619358,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2409,481,1928,0,0,0.0,0.0,8.673617379884035e-19,0.007923123633110728,0.007923123633110728,1.0,0.4818,0.3856,0,1,0.0
02_noise_sweep,3,264937297410977934958928471758959297233,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2530,506,2024,0,0,0.0,0.0,0.0,0.0075346144457921075,0.0075346144457921075,1.0,0.506,0.4048,0,1,0.0
02_noise_sweep,4,276622002053477117903609378085987859563,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2494,498,1996,0,0,0.0,0.0,4.336808689942018e-19,0.00765472591627122,0.00765472591627122,1.0,0.4988,0.3992,0,1,0.0
02_noise_sweep,5,149175175552615474247248146528914201954,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2502,500,2002,0,0,0.0,0.0,4.336808689942018e-19,0.007624340461552238,0.007624340461552238,1.0,0.5004,0.4004,0,1,0.0
02_noise_sweep,6,51752976251308751770720959903294365866,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2526,505,2021,0,0,0.0,0.0,0.0,0.007549421836807875,0.007549421836807875,1.0,0.5052,0.4042,0,1,0.0
02_noise_sweep,7,227326814922373947047036384508289145389,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2487,497,1990,0,0,0.0,0.0,0.0,0.007670009646843955,0.007670009646843955,1.0,0.4974,0.398,0,1,0.0
02_noise_sweep,8,254483760936528614036129947390228779714,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2518,503,2015,0,0,0.0,0.0,0.0,0.007579211909050085,0.007579211909050085,1.0,0.5036,0.403,0,1,0.0
02_noise_sweep,9,229237461139785950406572016146647187226,5000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2536,507,2029,0,0,0.0,0.0,0.0,0.0075198650273263735,0.0075198650273263735,1.0,0.5072,0.4058,0,1,0.0
