experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
03_sample_uncertainty,0,220065613904014589147680662739909854940,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2498,10,2488,111,0,0.044435548438751,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.4996,0.4976,0,1,0.05
03_sample_uncertainty,1,84566600265515624112642816323774404929,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2458,10,2448,120,0,0.04882017900732303,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.4916,0.4896,0,1,0.05
03_sample_uncertainty,2,61632432747118055673781319490680441235,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2511,10,2501,115,0,0.04579848665870171,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.5022,0.5002,0,1,0.05
03_sample_uncertainty,3,217745645446792202272430923063234775752,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2499,10,2489,129,1,0.05162064825930372,0.1,0.017876213095072896,0.40415002679523837,0.38627381370016545,1.0,0.4998,0.4978,1,1,0.05
03_sample_uncertainty,4,261114565814584098001025248479881438052,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2526,10,2516,119,0,0.047110055423594616,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.5052,0.5032,0,1,0.05
03_sample_uncertainty,5,319655080768730634758993186904115525462,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2478,10,2468,118,0,0.047619047619047616,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.4956,0.4936,0,1,0.05
03_sample_uncertainty,6,80522468845252238855278688168129013342,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2561,10,2551,129,0,0.05037094884810621,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.5122,0.5102,0,1,0.05
03_sample_uncertainty,7,234037606211166263295308081917823957647,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2506,10,2496,123,0,0.04908220271348763,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.5012,0.4992,0,1,0.05
03_sample_uncertainty,8,336518400135126428655235522399304759484,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2503,10,2493,124,1,0.049540551338393926,0.1,0.017876213095072896,0.40415002679523837,0.38627381370016545,1.0,0.5006,0.4986,1,1,0.05
03_sample_uncertainty,9,92881039546914339177545429461735093941,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2480,10,2470,115,0,0.046370967741935484,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.496,0.494,0,1,0.05
03_sample_uncertainty,10,220998064213008946264928603971986858448,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2489,10,2479,119,0,0.047810365608678185,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.4978,0.4958,0,1,0.05
03_sample_uncertainty,11,77605927352602636442824815283327946166,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2501,10,2491,144,1,0.057576969212315074,0.1,0.017876213095072896,0.40415002679523837,0.38627381370016545,1.0,0.5002,0.4982,1,1,0.05
03_sample_uncertainty,12,97151255364878487627221228076620840379,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2475,10,2465,137,0,0.055353535353535356,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.495,0.493,0,1,0.05
03_sample_uncertainty,13,201960840541704102962924138635862164572,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2470,10,2460,116,1,0.04696356275303644,0.1,0.017876213095072896,0.40415002679523837,0.38627381370016545,1.0,0.494,0.492,1,1,0.05
03_sample_uncertainty,14,200506460903803234858115332935364099859,5000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,5000,2475,10,2465,123,0,0.0496969696969697,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.495,0.493,0,1,0.05
