expected_qber,sample_size,n_signals,repetitions_requested,complete_runs,incomplete_runs,runs_with_error,probability_estimate,probability_ci_low,probability_ci_high,theory_probability
0.025,1,512,500,500,0,14,0.028,0.016750974720756453,0.04644640267494887,0.025
0.025,2,512,500,500,0,32,0.064,0.04569601604478943,0.08895240883768415,0.049375
0.025,5,512,500,500,0,59,0.118,0.09259300825150649,0.14923198786111944,0.11890430664062501
0.025,10,512,500,500,0,125,0.25,0.21404849674782103,0.2897636734829552,0.22367037914356222
0.025,20,512,500,500,0,184,0.368,0.32688454837875686,0.41112827750309305,0.39731231978089954
0.025,50,512,500,500,0,366,0.732,0.6915162794621877,0.768946026563652,0.7180118976590828
0.025,100,800,500,500,0,463,0.926,0.8996652466777695,0.945838815248988,0.9204827101381684
0.025,200,1600,500,500,0,499,0.998,0.9887592932948532,0.9996468636054407,0.9936770006130294
0.1,1,512,500,500,0,48,0.096,0.07317350466541905,0.1249869624275152,0.1
0.1,2,512,500,500,0,92,0.184,0.1524894793781606,0.22032910379354043,0.19
0.1,5,512,500,500,0,184,0.368,0.32688454837875686,0.41112827750309305,0.40951000000000004
0.1,10,512,500,500,0,342,0.684,0.641977870830057,0.7232163718800919,0.6513215599000001
0.1,20,512,500,500,0,439,0.878,0.8463952769261602,0.9038407216849063,0.8784233454094308
0.1,50,512,500,500,0,498,0.996,0.9855342847848231,0.9989023694773173,0.9948462247926799
0.1,100,800,500,500,0,500,1.0,0.9923756595384479,1.0,0.9999734386011124
0.1,200,1600,500,500,0,500,1.0,0.9923756595384479,1.0,0.9999999992944921
0.25,1,512,500,500,0,116,0.232,0.19712923845271468,0.2709574080346774,0.24999999999999997
0.25,2,512,500,500,0,215,0.43,0.38730164759035934,0.4737657600742581,0.4374999999999999
0.25,5,512,500,500,0,382,0.764,0.7248556437078593,0.7991187045284411,0.7626953125
0.25,10,512,500,500,0,471,0.942,0.9179438121437451,0.9593162708882428,0.9436864852905273
0.25,20,512,500,500,0,499,0.998,0.9887592932948532,0.9996468636054407,0.996828788061066
0.25,50,512,500,500,0,500,1.0,0.9923756595384479,1.0,0.9999994336783435
0.25,100,800,500,500,0,500,1.0,0.9923756595384479,1.0,0.9999999999996793
0.25,200,1600,500,500,0,500,1.0,0.9923756595384479,1.0,1.0
