experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
05_loss_retention,0,17109704311734658053830083186363795455,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2488,497,1991,41,7,0.01647909967845659,0.014084507042253521,0.006838920804809714,0.028784046316771037,0.021945125511961323,1.0,0.4976,0.3982,1,1,0.02
05_loss_retention,1,152698383272547846279042175473996477940,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2462,492,1970,41,7,0.016653127538586516,0.014227642276422764,0.006908589856306753,0.0290735945764515,0.022165004720144744,1.0,0.4924,0.394,1,1,0.02
05_loss_retention,2,238807339210144769769097290370272365008,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2522,504,2018,51,14,0.020222045995241873,0.027777777777777776,0.01661746329319737,0.046082141608371985,0.029464678315174613,1.0,0.5044,0.4036,1,1,0.02
05_loss_retention,3,124200023848790966611199950518485026858,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2536,507,2029,57,12,0.022476340694006308,0.023668639053254437,0.01359032828124242,0.04091084491047087,0.027320516629228447,1.0,0.5072,0.4058,1,1,0.02
05_loss_retention,4,289130033942676815725559106091160443082,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2427,485,1942,49,11,0.02018953440461475,0.02268041237113402,0.012710674478437297,0.040151983453717975,0.02744130897528068,1.0,0.4854,0.3884,1,1,0.02
05_loss_retention,5,201171740063985791251746057361310870509,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2458,491,1967,49,8,0.019934906427990236,0.016293279022403257,0.008278668544469323,0.031817928996044506,0.023539260451575183,1.0,0.4916,0.3934,1,1,0.02
05_loss_retention,6,309252772964127874503004078331352491767,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2558,511,2047,39,6,0.01524628616106333,0.011741682974559686,0.005392124349339946,0.025377462188972022,0.019985337839632078,1.0,0.5116,0.4094,1,1,0.02
05_loss_retention,7,281685690073191083495585800986975173037,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2502,500,2002,45,10,0.017985611510791366,0.02,0.010899183596210811,0.03642018324687934,0.02552099965066853,1.0,0.5004,0.4004,1,1,0.02
05_loss_retention,8,289262521810635957632311933487595836020,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2467,493,1974,57,15,0.02310498581272801,0.030425963488843813,0.018523723985031423,0.049589470314454806,0.031065746329423383,1.0,0.4934,0.3948,1,1,0.02
05_loss_retention,9,236701488630276306510661492332117251066,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2518,503,2015,56,10,0.022239872915011914,0.019880715705765408,0.010833968133964414,0.036205314872141334,0.02537134673817692,1.0,0.5036,0.403,1,1,0.02
05_loss_retention,10,266380098272875589587416372222344003789,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2498,499,1999,45,14,0.018014411529223378,0.028056112224448898,0.01678468847600438,0.04653836944243253,0.02975368096642815,1.0,0.4996,0.3998,1,1,0.02
05_loss_retention,11,156349319535133265337233019455003110593,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2514,502,2012,56,8,0.022275258552108195,0.01593625498007968,0.008096779101684867,0.031127880077007196,0.02303110097532233,1.0,0.5028,0.4024,1,1,0.02
05_loss_retention,12,234930169490543844846942313060503900862,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2536,507,2029,48,12,0.01892744479495268,0.023668639053254437,0.01359032828124242,0.04091084491047087,0.027320516629228447,1.0,0.5072,0.4058,1,1,0.02
05_loss_retention,13,152757426893557321116150489081125263395,5000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,5000,2502,500,2002,40,5,0.01598721023181455,0.01,0.004278753896590496,0.023193099755730702,0.018914345859140206,1.0,0.5004,0.4004,1,1,0.02
