experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
01_eve_sweep,0,99031279285401932234240282468167896248,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9921,1984,7937,0,0,0.0,0.0,0.0,0.001932477463757651,0.001932477463757651,1.0,0.49605,0.39685,0,1,0.0
01_eve_sweep,1,112623525085301176008025017755594503810,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10037,2007,8030,0,0,0.0,0.0,0.0,0.0019103737909536827,0.0019103737909536827,1.0,0.50185,0.4015,0,1,0.0
01_eve_sweep,2,49910149197435332034101219930412802843,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9974,1994,7980,0,0,0.0,0.0,0.0,0.0019228046368412529,0.0019228046368412529,1.0,0.4987,0.399,0,1,0.0
01_eve_sweep,3,133093806702967085584395378366182869563,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10044,2008,8036,0,0,0.0,0.0,0.0,0.0019094242261743224,0.0019094242261743224,1.0,0.5022,0.4018,0,1,0.0
01_eve_sweep,4,194553174312265853038635626403596996746,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9935,1987,7948,0,0,0.0,0.0,0.0,0.0019295654124912949,0.0019295654124912949,1.0,0.49675,0.3974,0,1,0.0
01_eve_sweep,5,92868394458405343077671876924816152325,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10030,2006,8024,0,0,0.0,0.0,0.0,0.0019113243006481514,0.0019113243006481514,1.0,0.5015,0.4012,0,1,0.0
01_eve_sweep,6,1017657577799929212837944752116152108,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9875,1975,7900,0,0,0.0,0.0,0.0,0.001941266594941603,0.001941266594941603,1.0,0.49375,0.395,0,1,0.0
01_eve_sweep,7,287423148112230747626672637403319328674,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10008,2001,8007,0,0,0.0,0.0,1.0842021724855044e-19,0.001916091072335356,0.001916091072335356,1.0,0.5004,0.40035,0,1,0.0
01_eve_sweep,8,176973202756744938798647352125187245284,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9954,1990,7964,0,0,0.0,0.0,0.0,0.0019266621243628104,0.0019266621243628104,1.0,0.4977,0.3982,0,1,0.0
01_eve_sweep,9,174969727583364163373659859855967422462,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9977,1995,7982,0,0,0.0,0.0,1.0842021724855044e-19,0.0019218426772879544,0.0019218426772879544,1.0,0.49885,0.3991,0,1,0.0
