experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
02_noise_sweep,0,330698282025032377569948155000156248298,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9927,1985,7942,0,0,0.0,0.0,1.0842021724855044e-19,0.0019315058038723507,0.0019315058038723507,1.0,0.49635,0.3971,0,1,0.0
02_noise_sweep,1,224171984460005697794713070750215036992,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10000,2000,8000,0,0,0.0,0.0,1.0842021724855044e-19,0.0019170472812529331,0.0019170472812529331,1.0,0.5,0.4,0,1,0.0
02_noise_sweep,2,54476884168454198208171820631718737136,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10061,2012,8049,0,0,0.0,0.0,0.0,0.0019056353880832723,0.0019056353880832723,1.0,0.50305,0.40245,0,1,0.0
02_noise_sweep,3,109110959233796452805076839517680971936,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10106,2021,8085,0,0,0.0,0.0,0.0,0.0018971652343247958,0.0018971652343247958,1.0,0.5053,0.40425,0,1,0.0
02_noise_sweep,4,174033728573901206143359094961060082013,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10193,2038,8155,0,0,0.0,0.0,0.0,0.001881369782212589,0.001881369782212589,1.0,0.50965,0.40775,0,1,0.0
02_noise_sweep,5,1010037523547719557599893626260357092,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9942,1988,7954,0,0,0.0,0.0,0.0,0.0019285966780551544,0.0019285966780551544,1.0,0.4971,0.3977,0,1,0.0
02_noise_sweep,6,172187943887386614968029645634108068968,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10085,2017,8068,0,0,0.0,0.0,1.0842021724855044e-19,0.0019009204328853638,0.0019009204328853638,1.0,0.50425,0.4034,0,1,0.0
02_noise_sweep,7,78144252245493108682759305341998213865,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9958,1991,7967,0,0,0.0,0.0,0.0,0.0019256963021838883,0.0019256963021838883,1.0,0.4979,0.39835,0,1,0.0
02_noise_sweep,8,124137073931471672477365877283425018973,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10000,2000,8000,0,0,0.0,0.0,1.0842021724855044e-19,0.0019170472812529331,0.0019170472812529331,1.0,0.5,0.4,0,1,0.0
02_noise_sweep,9,288734949054546934058499095139002786935,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10080,2016,8064,0,0,0.0,0.0,1.0842021724855044e-19,0.0019018615564693874,0.0019018615564693874,1.0,0.504,0.4032,0,1,0.0
02_noise_sweep,10,215254311639246002709911659093118137045,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10034,2006,8028,0,0,0.0,0.0,0.0,0.0019113243006481514,0.0019113243006481514,1.0,0.5017,0.4014,0,1,0.0
02_noise_sweep,11,265474492591301531066295188414427174551,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10030,2006,8024,0,0,0.0,0.0,0.0,0.0019113243006481514,0.0019113243006481514,1.0,0.5015,0.4012,0,1,0.0
02_noise_sweep,12,304833522560738441512362835956136944859,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9907,1981,7926,0,0,0.0,0.0,1.0842021724855044e-19,0.001935398317897163,0.001935398317897163,1.0,0.49535,0.3963,0,1,0.0
02_noise_sweep,13,134477206856292277390036425103510090134,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9929,1985,7944,0,0,0.0,0.0,1.0842021724855044e-19,0.0019315058038723507,0.0019315058038723507,1.0,0.49645,0.3972,0,1,0.0
02_noise_sweep,14,111996182041600315808155082958135938484,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9965,1993,7972,0,0,0.0,0.0,0.0,0.001923767559875702,0.001923767559875702,1.0,0.49825,0.3986,0,1,0.0
02_noise_sweep,15,28766862771143413168334547215544713593,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9967,1993,7974,0,0,0.0,0.0,0.0,0.001923767559875702,0.001923767559875702,1.0,0.49835,0.3987,0,1,0.0
02_noise_sweep,16,318975185499084517790883624444359201275,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9960,1992,7968,0,0,0.0,0.0,1.0842021724855044e-19,0.0019247314478395348,0.0019247314478395348,1.0,0.498,0.3984,0,1,0.0
02_noise_sweep,17,133289026773462424243301537359898824985,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10238,2047,8191,0,0,0.0,0.0,0.0,0.001873113498935748,0.001873113498935748,1.0,0.5119,0.40955,0,1,0.0
02_noise_sweep,18,263707527102602366465178067280099603862,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10114,2022,8092,0,0,0.0,0.0,0.0,0.0018962287517456362,0.0018962287517456362,1.0,0.5057,0.4046,0,1,0.0
02_noise_sweep,19,42136675332809377666426601615462954581,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9957,1991,7966,0,0,0.0,0.0,0.0,0.0019256963021838883,0.0019256963021838883,1.0,0.49785,0.3983,0,1,0.0
02_noise_sweep,20,257659858981548264042526932516568400372,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9902,1980,7922,0,0,0.0,0.0,0.0,0.0019363738990401487,0.0019363738990401487,1.0,0.4951,0.3961,0,1,0.0
02_noise_sweep,21,270861592120222470821861629786679236227,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10076,2015,8061,0,0,0.0,0.0,0.0,0.00190280361239367,0.00190280361239367,1.0,0.5038,0.40305,0,1,0.0
02_noise_sweep,22,17068661219269787113543918411637776623,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9982,1996,7986,0,0,0.0,0.0,0.0,0.001920881679770471,0.001920881679770471,1.0,0.4991,0.3993,0,1,0.0
02_noise_sweep,23,286580917362048024009144809262461109300,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10136,2027,8109,0,0,0.0,0.0,0.0,0.0018915601727595474,0.0018915601727595474,1.0,0.5068,0.40545,0,1,0.0
02_noise_sweep,24,205332837566573632420713491350043272218,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9877,1975,7902,0,0,0.0,0.0,0.0,0.001941266594941603,0.001941266594941603,1.0,0.49385,0.3951,0,1,0.0
02_noise_sweep,25,256960353042403578027146230354948415333,20000,0.0,0.0,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9893,1978,7915,0,0,0.0,0.0,1.0842021724855044e-19,0.0019383280148857138,0.0019383280148857138,1.0,0.49465,0.39575,0,1,0.0
