noise_model,noise_probability,repetitions,expected_qber,qber_estimate_count,qber_estimate_mean,qber_estimate_sd,qber_estimate_sem,qber_actual_count,qber_actual_mean,qber_actual_sd,qber_actual_sem
depolarizing,0.0,150,0.0,150,0.0,0.0,0.0,150,0.0,0.0,0.0
depolarizing,0.02,150,0.01,150,0.01009686629203128,0.002137010658582407,0.00017448618961386433,150,0.009988690388485495,0.0010040949862595145,8.198401232075656e-05
depolarizing,0.04,150,0.02,150,0.020211436248605972,0.0030333630874124135,0.0002476730589584607,150,0.01987212006302351,0.0013648306484921274,0.00011143795580391931
depolarizing,0.06,150,0.03,150,0.030161985896033285,0.0037386727324984982,0.00030526135032927425,150,0.02985785283512307,0.0016738623756560953,0.00013667029066667628
depolarizing,0.08,150,0.04,150,0.04027485528563092,0.004791900847042541,0.0003912570657754909,150,0.04001808164168508,0.002015552765670395,0.00016456919418492998
depolarizing,0.1,150,0.05,150,0.050180802058650484,0.004784831046586393,0.00039067981898546235,150,0.04979525338881128,0.002145267415098095,0.00017516035096032555
depolarizing,0.12,150,0.06,150,0.059737993329856805,0.0051810564124451465,0.00042303148463551323,150,0.059916627615173704,0.0021737615815587454,0.0001774868899094762
depolarizing,0.14,150,0.07,150,0.06910749123027653,0.005649953693973759,0.000461316787352955,150,0.06988681059988974,0.0026119533299317466,0.00021326509634320598
depolarizing,0.16,150,0.08,150,0.08001706780812132,0.005779117413532991,0.0004718629608929571,150,0.0797067374999481,0.002520361363013439,0.0002057866435602816
depolarizing,0.18,150,0.09,150,0.08938388567437888,0.006086023180662551,0.0004969217118457858,150,0.0899162155432865,0.0029560506876623385,0.0002413605279525353
depolarizing,0.2,150,0.1,150,0.10019164153648456,0.006249360205151277,0.0005102581240491811,150,0.0999165938662009,0.0029889128550147025,0.00024404371268104327
readout_flip,0.0,150,0.0,150,0.0,0.0,0.0,150,0.0,0.0,0.0
readout_flip,0.02,150,0.02,150,0.019484381117539962,0.0032044508202248435,0.0002616423138464632,150,0.020050871492366795,0.001444747263576333,0.00011796312010147641
readout_flip,0.04,150,0.04,150,0.0401588741937484,0.004256656067098882,0.00034755451249714983,150,0.039919129894427745,0.0019479341663110512,0.00015904815866652738
readout_flip,0.06,150,0.06,150,0.05995721454648984,0.005279445757319841,0.00043106494100450396,150,0.060059703978379085,0.002223834401549442,0.00018157531854145754
readout_flip,0.08,150,0.08,150,0.07970056911573356,0.006155587546093794,0.0005026016184986874,150,0.07968733091764449,0.002444095650498394,0.00019955957420922653
readout_flip,0.1,150,0.1,150,0.09916333123388461,0.006493895498047816,0.0005302243471057994,150,0.10014090275491098,0.0030806272435414607,0.0002515321611464408
readout_flip,0.12,150,0.12,150,0.11971751997422515,0.007215780779780393,0.0005891660335414692,150,0.12016435922123084,0.0029653825268077397,0.00024212246942813403
readout_flip,0.14,150,0.14,150,0.1405016570737203,0.007975111899741351,0.0006511651598654835,150,0.14003465417506963,0.0035609656950561573,0.0002907516314814276
readout_flip,0.16,150,0.16,150,0.16005550726765477,0.007779665594975139,0.0006352070359058265,150,0.16018433832726459,0.003954416812913582,0.00032287678073070544
readout_flip,0.18,150,0.18,150,0.17929696881849727,0.00855481232908013,0.0006984975017172283,150,0.1801885591651275,0.0036745868083337555,0.0003000287565326637
readout_flip,0.2,150,0.2,150,0.20061956577220252,0.009042153597292173,0.0007382887496412397,150,0.20039881994148667,0.004014644519658555,0.00032779435239414437
