experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
03_sample_uncertainty,0,112674980254981233315599771978324626055,20000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,20000,9936,10,9926,505,1,0.05082528180354267,0.1,0.017876213095072896,0.40415002679523837,0.38627381370016545,1.0,0.4968,0.4963,1,1,0.05
03_sample_uncertainty,1,129496980274079221990693567944672073612,20000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,20000,10044,10,10034,509,0,0.050677021107128635,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.5022,0.5017,0,1,0.05
03_sample_uncertainty,2,229125988795489251907854541041117682508,20000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,20000,10029,10,10019,493,2,0.04915744341409911,0.2,0.056682151454375246,0.5098375284633582,0.4531553770089829,1.0,0.50145,0.50095,1,1,0.05
03_sample_uncertainty,3,254336937024148234510680402110706229219,20000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,20000,9980,10,9970,487,0,0.04879759519038076,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.499,0.4985,0,1,0.05
03_sample_uncertainty,4,162745144429074972553327323938247087123,20000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,20000,9963,10,9953,490,2,0.049181973301214495,0.2,0.056682151454375246,0.5098375284633582,0.4531553770089829,1.0,0.49815,0.49765,1,1,0.05
03_sample_uncertainty,5,11555172614223173116485787890724438885,20000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,20000,10002,10,9992,510,0,0.05098980203959208,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.5001,0.4996,0,1,0.05
03_sample_uncertainty,6,109336563187665799753697214240906147343,20000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,20000,9859,10,9849,516,0,0.05233796531088346,0.0,2.7755575615628914e-17,0.27753279986288915,0.27753279986288915,1.0,0.49295,0.49245,0,1,0.05
03_sample_uncertainty,7,255624050140922372397575157374388256807,20000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,20000,10018,10,10008,511,1,0.05100818526652026,0.1,0.017876213095072896,0.40415002679523837,0.38627381370016545,1.0,0.5009,0.5004,1,1,0.05
03_sample_uncertainty,8,86550812490075072198496206522284948147,20000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,20000,10135,10,10125,507,2,0.05002466699555994,0.2,0.056682151454375246,0.5098375284633582,0.4531553770089829,1.0,0.50675,0.50625,1,1,0.05
03_sample_uncertainty,9,338397211535659527423857794685532987577,20000,0.2,0.0,depolarizing,0.0,0.5,0.2,10,0.11,0.95,20000,10010,10,10000,497,1,0.04965034965034965,0.1,0.017876213095072896,0.40415002679523837,0.38627381370016545,1.0,0.5005,0.5,1,1,0.05
