expected_qber,sample_size,n_signals,repetitions_requested,complete_runs,incomplete_runs,runs_with_error,probability_estimate,probability_ci_low,probability_ci_high,theory_probability
0.025,1,512,2000,2000,0,47,0.0235,0.017718224361690935,0.03110872169734311,0.025
0.025,2,512,2000,2000,0,107,0.0535,0.044466187536515975,0.06424573568564287,0.049375
0.025,5,512,2000,2000,0,254,0.127,0.11311861187744657,0.14231150539436807,0.11890430664062501
0.025,10,512,2000,2000,0,473,0.2365,0.21839299316762395,0.25561729074959627,0.22367037914356222
0.025,20,512,2000,2000,0,791,0.3955,0.3742908167937453,0.4171098460880365,0.39731231978089954
0.025,50,512,2000,2000,0,1446,0.723,0.702973729779813,0.7421712671327482,0.7180118976590828
0.025,100,800,2000,2000,0,1859,0.9295,0.9174382310555769,0.9399150253298267,0.9204827101381684
0.025,200,1600,2000,2000,0,1991,0.9955,0.9914694867812403,0.9976307193630382,0.9936770006130294
0.1,1,512,2000,2000,0,193,0.0965,0.0843220272921492,0.11022502986382192,0.1
0.1,2,512,2000,2000,0,388,0.194,0.1772631843610461,0.21191004857508067,0.19
0.1,5,512,2000,2000,0,778,0.389,0.3678659620080682,0.41055962248836986,0.40951000000000004
0.1,10,512,2000,2000,0,1362,0.681,0.6602427759988633,0.7010632528853232,0.6513215599000001
0.1,20,512,2000,2000,0,1734,0.867,0.8514118331191399,0.8811810541764203,0.8784233454094308
0.1,50,512,2000,2000,0,1992,0.996,0.9921265357039621,0.9979717533930348,0.9948462247926799
0.1,100,800,2000,2000,0,2000,1.0,0.9980829527187469,0.9999999999999998,0.9999734386011124
0.1,200,1600,2000,2000,0,2000,1.0,0.9980829527187469,0.9999999999999998,0.9999999992944921
0.25,1,512,2000,2000,0,517,0.2585,0.2397882531557159,0.27813768068112926,0.24999999999999997
0.25,2,512,2000,2000,0,874,0.437,0.415402863259502,0.4588386846979358,0.4374999999999999
0.25,5,512,2000,2000,0,1525,0.7625,0.7433576088948527,0.7806359412824894,0.7626953125
0.25,10,512,2000,2000,0,1885,0.9425,0.9314237261895166,0.9518796869665744,0.9436864852905273
0.25,20,512,2000,2000,0,1993,0.9965,0.9927928037467583,0.9983035683029576,0.996828788061066
0.25,50,512,2000,2000,0,2000,1.0,0.9980829527187469,0.9999999999999998,0.9999994336783435
0.25,100,800,2000,2000,0,2000,1.0,0.9980829527187469,0.9999999999999998,0.9999999999996793
0.25,200,1600,2000,2000,0,2000,1.0,0.9980829527187469,0.9999999999999998,1.0
