experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
05_loss_retention,0,206796395500974039342146609827921557958,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9959,1991,7968,190,39,0.01907822070489005,0.019588146659969864,0.014362030116880354,0.02666451786206379,0.012302487745183437,1.0,0.49795,0.3984,1,1,0.02
05_loss_retention,1,5910070653307429352367225598833930005,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9872,1974,7898,209,47,0.0211709886547812,0.023809523809523808,0.01795219493569798,0.03151661278109089,0.013564417845392914,1.0,0.4936,0.3949,1,1,0.02
05_loss_retention,2,190678891314348462434101440290381737247,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10062,2012,8050,187,40,0.018584774398727886,0.019880715705765408,0.014633723976542093,0.026957572032293334,0.01232384805575124,1.0,0.5031,0.4025,1,1,0.02
05_loss_retention,3,279824196240773300744722513640000243059,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10005,2001,8004,203,49,0.020289855072463767,0.02448775612193903,0.018572319906011873,0.032225441868428,0.013653121962416123,1.0,0.50025,0.4002,1,1,0.02
05_loss_retention,4,12611994013568910167414136836391073872,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10074,2014,8060,201,47,0.019952352590827872,0.02333664349553128,0.017594748714497826,0.030893430767093607,0.013298682052595781,1.0,0.5037,0.403,1,1,0.02
05_loss_retention,5,26983850093987376469830218790561690018,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10053,2010,8043,205,38,0.020391922809111708,0.01890547263681592,0.013804610111229116,0.025841737654125403,0.012037127542896287,1.0,0.50265,0.40215,1,1,0.02
05_loss_retention,6,216249028252550249324497907089822777956,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9934,1986,7948,197,41,0.019830883833299777,0.020644511581067473,0.015254185348480942,0.02788566302495138,0.012631477676470437,1.0,0.4967,0.3974,1,1,0.02
05_loss_retention,7,40375732963594259540963261896382717049,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9868,1973,7895,189,36,0.01915281718686664,0.01824632539280284,0.013208686594151104,0.025156281158972695,0.011947594564821591,1.0,0.4934,0.39475,1,1,0.02
05_loss_retention,8,54698371396011925428956698241385336699,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9917,1983,7934,194,40,0.019562367651507512,0.020171457387796268,0.014848223436427782,0.027350140428225464,0.012501916991797682,1.0,0.49585,0.3967,1,1,0.02
05_loss_retention,9,247771081971514933993358970054210871441,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10051,2010,8041,190,43,0.01890359168241966,0.021393034825870648,0.01592098531163116,0.028690996643147598,0.012770011331516437,1.0,0.50255,0.40205,1,1,0.02
